feature_a,feature_b,spearman_correlation,abs_spearman_correlation
high,close,0.9997994610498033,0.9997994610498033
open,high,0.9997875108544753,0.9997875108544753
low,close,0.9997874164702962,0.9997874164702962
open,low,0.99972816018925,0.99972816018925
open,close,0.9996382657146519,0.9996382657146519
high,low,0.9995859187567816,0.9995859187567816
volume_z_168h,trades_z_168h,0.9738454205138211,0.9738454205138211
dist_high_96h,dist_high_168h,0.8791732468245432,0.8791732468245432
rsi_14h,bb_pctb_20h,0.8787521970970993,0.8787521970970993
vol_96h,vol_168h,0.8761551771765271,0.8761551771765271
ret_12h,rsi_14h,0.8758670129702482,0.8758670129702482
volume_z_168h,volume,0.8727703340750973,0.8727703340750973
funding_last,funding_mean_24h,0.8716047845503144,0.8716047845503144
ret_12h,bb_pctb_20h,0.8629686332149452,0.8629686332149452
trades_z_168h,volume,0.8574774447641277,0.8574774447641277
vol_24h,atr_pct_14h,0.8455725629119402,0.8455725629119402
vol_6h,vol_ratio_6_96,0.8399376286294291,0.8399376286294291
dist_low_96h,dist_low_168h,0.8329061908355152,0.8329061908355152
ret_24h,eth_ret_24h,0.8172151329100261,0.8172151329100261
ret_168h,eth_ret_168h,0.8121162288399201,0.8121162288399201
ret_1h,eth_ret_1h,0.7981097724550327,0.7981097724550327
bb_bw_20h,atr_pct_14h,0.7943357684544163,0.7943357684544163
ret_12h,macd_hist_1h,0.7924191242150693,0.7924191242150693
ret_6h,bb_pctb_20h,0.7794880898782625,0.7794880898782625
ret_96h,dist_high_168h,0.7765230445657522,0.7765230445657522
vol_24h,bb_bw_20h,0.764641164449078,0.764641164449078
ret_168h,dist_high_168h,0.7618941087203913,0.7618941087203913
macd_hist_1h,bb_pctb_20h,0.7534767591632057,0.7534767591632057
ret_96h,dist_high_96h,0.7392826210519465,0.7392826210519465
bb_pctb_20h,dist_high_24h,0.7353542116329008,0.7353542116329008
ret_48h,dist_high_96h,0.7337438114564301,0.7337438114564301
rsi_14h,macd_hist_1h,0.7303040849770751,0.7303040849770751
vol_6h,atr_pct_14h,0.7216395548968194,0.7216395548968194
ret_96h,ret_168h,0.7173760183749723,0.7173760183749723
rsi_14h,dist_high_24h,0.689971939875322,0.689971939875322
ret_6h,macd_hist_1h,0.689752514848469,0.689752514848469
ret_24h,rsi_14h,0.6835575546566179,0.6835575546566179
ret_24h,oi_chg_24h,0.680613607486842,0.680613607486842
ret_96h,dist_low_168h,0.6707780664722645,0.6707780664722645
ret_24h,dist_high_24h,0.6695898680420943,0.6695898680420943
ret_48h,dist_low_96h,0.6674046086822439,0.6674046086822439
bb_pctb_20h,dist_low_24h,0.6659265254923481,0.6659265254923481
